reward,cumul_SystemInfoHintCount,cumul_NextStepClickCountWE,deletedApp,ruleScoreABS,CurrPro_NumProbRule,avgstepTimePS,cumul_F1Score,session
-48.5283060592658,0,13,0,0.01,4,3.606092593,0.131147541,2
0,0,9,0,0.011597411,4,5.730519118,0.268913966,2
0,0,9,1,0.01,6,4.888448276,0.195652174,2
71.0206412662152,0,9,0,0.01,6,3.976733333,0.256,2
0,0,0,4,0.01,4,4.36691411,0.095890411,2
0,0,7,0,0.011597411,5,0.002,0.092105263,2
0,0,7,12,0.01,5,4.906364286,0.127764128,2
0,0,7,0,0.011597411,4,3.00225,0.126213592,2
0,0,7,0,0.01,2,3.347513514,0.144628099,2
0,0,7,0,0.01,4,10.875,0.144249513,2
0,0,7,0,0.01,4,6.429236842,0.143106457,2
0,0,7,0,0.011340922,4,7.950086957,0.149837134,2
0,0,7,0,0.011597411,4,2.063375,0.143525741,2
0,0,7,8,0.011522626,4,8.169477477,0.166894665,3
0,0,7,2,0.011522626,4,5.222430108,0.168471721,3
-113.037447988904,0,7,0,0.011522626,4,5.722054054,0.188261351,4
0,0,6,0,0.011597411,4,5.730519118,0.268913966,5
0,0,6,2,0.011522626,4,5.039645161,0.277777778,5
0,0,6,0,0.011522626,4,2.320842105,0.357142857,5
81.0714285714286,0,6,1,0.011522626,7,4.8278,0.390804598,5
0,0,0,0,0.011522626,3,3.119,0.545454545,5
0,0,0,0,0.011522626,5,4.32495,0.384615385,5
0,0,8,0,0.011597411,4,5.730519118,0.338983051,5
0,0,8,0,0.011597411,6,5.68025,0.294117647,5
0,0,8,0,0.011547283,6,6.313040816,0.265734266,5
-25.472972972973,0,8,3,0.011547283,6,3.180358209,0.276190476,5
0,2,0,0,0.01,3,7.37202381,0.363636364,1
0,2,4,0,0.011597411,3,0.004,0.32,1
0,2,11,0,0.011597411,4,5.730519118,0.275862069,1
-65.1315789473684,2,11,0,0.01,4,3.643060606,0.168224299,1
0,0,8,0,0.011597411,4,5.730519118,0.268913966,1
0,0,13,0,0.011597411,4,5.730519118,0.268913966,1
41.266032728881,0,13,0,0.01,4,2.886951613,0.144927536,1
0,0,9,0,0.011597411,4,5.730519118,0.268913966,1
0,0,9,0,0.01,6,2.837037736,0.350877193,1
48.3315656359632,0,9,0,0.01,6,2.9445,0.371134021,1
0,0,10,0,0.011597411,4,5.730519118,0.268913966,1
0,0,10,0,0.01,5,2.952352423,0.164251208,2
-69.2874479889044,0,10,0,0.01,5,2.897337209,0.133333333,2
0,0,7,0,0.011597411,5,5.730519118,0.268913966,2
0,0,7,0,0.01,6,2.633938776,0.285714286,2
0.132433356117595,0,7,0,0.01,5,3.116007246,0.222222222,2
0,0,0,0,0.01,3,2.426344828,0.416666667,2
0,0,9,0,0.011597411,5,5.730519118,0.322580645,2
0,0,16,0,0.011597411,4,5.730519118,0.263157895,2
-36.9326264063106,0,16,0,0.01,6,3.618266667,0.348484848,2
0,4,0,0,0.01,3,12.28947692,0.268913966,1
0,4,5,0,0.011597411,3,5.730519118,0.268913966,4
0,8,11,0,0.011597411,4,5.730519118,0.268913966,4
0,8,11,4,0.01,4,16.687,0.25,5
-34.8684210526316,8,11,0,0.01,3,10.495375,0.305555556,5
0,0,0,5,0.01,4,17.82104854,0.196078431,5
0,0,6,0,0.011597411,4,5.730519118,0.188679245,5
0,0,6,0,0.01,4,7.858714286,0.225806452,5
0,0,6,2,0.01,4,13.95235417,0.235294118,5
0,0,6,0,0.01,4,12.0612381,0.25,5
32.9329371816638,0,6,0,0.01,4,10.21811765,0.276190476,5
0,0,0,8,0.01,4,12.9160963,0.22556391,5
0,0,10,0,0.011597411,6,5.730519118,0.212765957,5
0,0,10,2,0.01,6,10.00866142,0.241509434,5
0,0,10,0,0.01,4,17.2166875,0.223776224,5
0,0,10,16,0.01,4,9.711366379,0.213861386,5
-83.3392414037574,0,10,0,0.01,4,7.841975,0.213627993,6
0,0,9,0,0.011597411,4,5.730519118,0.268913966,6
0,0,9,1,0.01,5,9.583830303,0.335483871,6
174.381868131868,0,9,0,0.01,5,9.895344262,0.356807512,6
0,0,7,0,0.011597411,5,5.730519118,0.268913966,6
0,0,7,0,0.01,6,6.325969697,0.347826087,6
-70.6382433356116,0,7,1,0.01,5,7.428528571,0.336448598,6
0,0,0,1,0.01,6,6.285372549,0.458333333,6
0,0,2,0,0.011597411,5,5.730519118,0.407407407,6
0,0,2,0,0.01,8,13.68416,0.268292683,6
0,0,2,0,0.01,4,14.03285714,0.23655914,7
0,0,2,0,0.01,4,13.42781818,0.113402062,8
0,0,2,2,0.01,4,12.32735135,0.138211382,8
-10.9013319539636,0,2,1,0.01,6,5.730519118,0.268913966,8
0,2,0,0,0.01,3,11.63508108,0.391304348,1
0,2,5,0,0.011597411,3,5.730519118,0.352941176,1
0,2,10,0,0.011597411,4,5.730519118,0.327272727,1
40.7894736842106,2,10,0,0.01,4,9.632714286,0.366197183,1
0,0,0,2,0.01,4,9.313082969,0.166666667,1
0,0,6,0,0.011597411,4,5.730519118,0.162790698,1
26.9416187527642,0,6,0,0.01,4,7.521125,0.189473684,1
0,0,0,3,0.01,4,12.2357533,0.240384615,1
0,0,10,0,0.011597411,6,5.730519118,0.231481481,1
0,0,10,0,0.01,6,12.6406875,0.229787234,1
0,0,10,0,0.01,4,2.8751,0.151260504,1
0,0,10,0,0.01,4,10.32889157,0.165178571,1
0,0,10,0,0.011522626,4,7.961258065,0.143126177,1
-167.731092436975,0,10,3,0.011522626,4,5.205309091,0.15625,1
0,0,7,0,0.011597411,4,5.730519118,0.268913966,2
0,0,7,0,0.011522626,2,2.65953012,0.051282051,2
0,0,7,0,0.011522626,5,2.787957447,0.076555024,2
0,0,7,0,0.011547283,4,1.815055556,0.082135524,2
0,0,7,0,0.011547283,4,2.802651786,0.092485549,2
0,0,7,7,0.011547283,4,4.445679907,0.096499527,3
0,0,7,2,0.01155063,4,5.769185185,0.09909166,5
0,0,7,4,0.01155063,4,6.145765343,0.115277778,5
0,0,6,0,0.011597411,4,5.730519118,0.268913966,5
0,0,6,1,0.011551154,7,4.47703577,0.083870968,5
0,0,6,2,0.011551155,4,2.80850655,0.089264174,5
0,0,6,0,0.011551155,4,8.096205882,0.0914037,5
12.5,0,6,4,0.011551155,7,4.304681159,0.110091743,5
0,0,0,8,0.011551155,5,4.999474684,0.281690141,5
0,0,8,0,0.011597411,4,5.730519118,0.27027027,6
0,0,8,7,0.011551155,4,4.204992611,0.212290503,6
54.527027027027,0,8,3,0.011551155,6,4.215666667,0.21900161,6
0,2,0,0,0.01,3,7.304895833,0.303030303,1
0,2,5,0,0.011597411,3,5.730519118,0.277777778,2
0,2,10,0,0.011597411,4,5.730519118,0.25,2
-34.8684210526316,2,10,0,0.01,4,11.71875,0.290322581,2
0,0,8,0,0.011597411,4,5.730519118,0.268913966,2
0,0,8,0,0.01,4,11.39965625,0.388888889,2
102.599513489606,0,8,0,0.01,4,5.197805556,0.433333333,2
0,0,9,0,0.011597411,4,5.730519118,0.268913966,3
0,0,9,2,0.01,6,10.7375098,0.174757282,3
-126.760218650567,0,9,2,0.01,6,12.69612766,0.209606987,3
0,0,8,0,0.011597411,4,5.730519118,0.268913966,3
0,0,15,0,0.011597411,5,5.730519118,0.268913966,3
34.743411927878,0,15,3,0.01,5,6.199993631,0.243902439,3
0,0,7,0,0.011597411,5,5.730519118,0.268913966,3
0,0,16,0,0.011597411,6,5.730519118,0.268913966,3
0,0,16,3,0.01,5,6.412503546,0.241509434,3
0,0,16,0,0.01,4,3.922642857,0.258741259,3
0,0,16,0,0.01,7,6.062643836,0.272727273,3
0,0,16,0,0.01,7,5.302920635,0.27027027,3
0,0,16,0,0.01,7,2.465263158,0.272727273,3
0,0,16,0,0.011597411,7,6.5325,0.263736264,3
0,0,16,0,0.01,7,6.501235294,0.260127932,3
0,0,16,0,0.011547283,7,6.600021978,0.274368231,3
0,0,16,0,0.011547283,7,5.0085,0.263431542,3
0,0,16,0,0.01155063,7,6.496545455,0.236196319,3
0,0,16,1,0.01155063,7,6.864164835,0.221343874,4
0,0,16,1,0.01155063,7,4.813852941,0.227272727,5
0,0,16,2,0.01155063,7,7.829757895,0.230508475,5
-75.7142857142858,0,16,0,0.01155063,7,5.7746,0.243441763,5
0,0,0,0,0.01155063,3,2.6793125,0.470588235,5
0,0,0,0,0.01155063,5,6.08502381,0.344827586,5
0,0,8,0,0.011597411,4,5.730519118,0.3125,5
0,0,8,0,0.01155063,6,5.780065693,0.297435897,5
0,0,5,0,0.011597411,3,5.730519118,0.268913966,1
0,0,5,0,0.01,3,2.897732394,0.059701493,1
0,0,5,0,0.01,4,13.85255479,0.113360324,1
-58.5526315789474,0,5,0,0.01,4,13.87522368,0.139072848,1
0,0,6,0,0.011597411,4,5.730519118,0.268913966,2
0,0,11,0,0.011597411,4,5.730519118,0.268913966,2
0,0,11,0,0.01,4,5.589166667,0.344827586,2
5.0042444821732,0,11,0,0.01,4,9.017078947,0.393442623,2
0,0,0,3,0.01,4,4.183475921,0.078787879,2
0,0,10,0,0.011597411,6,5.730519118,0.076923077,2
144.033823989978,0,10,0,0.01,6,7.895482759,0.108991826,2
0,0,8,0,0.011597411,4,5.730519118,0.268913966,2
0,0,8,3,0.01,5,11.03150142,0.18018018,2
0,0,8,9,0.011340922,5,8.685873984,0.212230216,3
-139.771151178918,0,8,2,0.011340922,5,8.868585106,0.224648986,4
0,0,0,4,0.011340922,5,4.331902439,0.189189189,4
0,0,9,0,0.011597411,6,0.008,0.170731707,4
-5.9295967190704,0,9,1,0.011340922,5,7.081821678,0.278637771,4
0,0,0,1,0.011340922,6,7.193512821,0.387096774,5
0,0,1,0,0.011597411,5,25.2305,0.324324324,5
6.4302642758126,0,1,0,0.011340922,8,6.728696682,0.358974359,5
0,2,0,0,0.01,3,8.490882353,0.266666667,1
0,2,5,0,0.011597411,3,5.730519118,0.210526316,1
0,2,10,0,0.011597411,4,5.730519118,0.166666667,1
-94.7368421052632,2,10,0,0.01,4,7.0877,0.242424242,1
0,0,0,0,0.01,4,4.865956522,0.444444444,1
0,0,6,0,0.011597411,4,5.730519118,0.387096774,1
-5.26315789473681,0,6,0,0.01,4,4.903081633,0.273972603,1
0,0,0,0,0.01,4,2.467526316,0.347826087,1
0,0,2,0,0.011597411,4,5.730519118,0.296296296,1
0,0,2,1,0.01,4,4.590666667,0.317757009,1
0,0,2,3,0.011340922,4,6.184913043,0.209205021,1
0,0,2,5,0.011340922,4,4.718103825,0.161904762,1
0,0,2,0,0.011522626,4,3.522515528,0.129568106,1
0,0,2,0,0.011597411,4,3.467333333,0.128500824,1
0,0,2,0,0.011522626,4,4.298814229,0.129032258,1
0,0,9,0,0.011597411,5,5.730519118,0.268913966,1
0,0,9,0,0.011522626,4,2.850428571,0.380952381,1
0,0,9,0,0.011522626,4,2.178866667,0.43902439,1
0,0,16,0,0.011597411,4,5.730519118,0.391304348,1
68.5714285714286,0,16,0,0.011522626,2,3.747404255,0.269662921,1
0,2,0,0,0.011522626,5,3.419359375,0.465116279,1
0,2,10,0,0.011597411,6,5.730519118,0.392156863,1
0,2,10,0,0.011522626,5,2.600813333,0.292682927,1
0,4,10,0,0.011522626,4,3.544795918,0.326797386,1
0,4,10,0,0.011522626,4,5.734238095,0.335260116,1
-56.0714285714286,4,10,0,0.011522626,7,4.113955556,0.351851852,1
0,0,9,0,0.011597411,6,5.730519118,0.268913966,1
0,0,10,0,0.011597411,5,5.730519118,0.268913966,1
0,0,10,0,0.011522626,8,4.214428571,0.266666667,1
0,0,10,0,0.011522626,4,2.888192771,0.275,1
0,0,10,0,0.011522626,4,2.849333333,0.296703297,1
0,0,10,0,0.011522626,6,5.3695875,0.27027027,1
108.581081081081,0,10,0,0.011522626,6,3.394102564,0.290540541,1
0,2,0,1,0.01,3,7.242921053,0.344827586,1
0,2,0,0,0.01,3,5.38975,0.390243902,1
0,2,7,0,0.011597411,4,5.730519118,0.355555556,1
40.7894736842106,2,7,0,0.01,4,2.318842105,0.393442623,1
0,0,3,0,0.01,4,5.243657895,0.378378378,1
0,0,10,0,0.011597411,4,5.730519118,0.341463415,2
26.9416187527642,0,10,0,0.01,4,4.161035714,0.328358209,2
0,0,13,0,0.011597411,4,5.730519118,0.268913966,2
0,0,22,0,0.011597411,6,5.730519118,0.268913966,2
-43.265073019499,0,22,0,0.01,6,5.366567568,0.28,2
0,0,0,0,0.01,4,3.941172414,0.5,2
0,0,8,0,0.011597411,5,5.730519118,0.387096774,2
14.641123439667,0,8,0,0.01,5,4.999213115,0.296296296,2
0,0,0,0,0.01,5,4.465043478,0.421052632,2
0,0,10,0,0.011597411,6,5.730519118,0.296296296,2
9.0268284347232,0,10,14,0.01,5,5.255072464,0.333333333,2
0,0,0,0,0.01,6,3.419548387,0.5,3
0,0,2,0,0.011597411,5,5.730519118,0.421052632,3
23.6417296427134,0,2,0,0.01,8,3.272881356,0.444444444,3
0,0,6,0,0.011597411,3,5.730519118,0.268913966,1
0,0,6,0,0.011597411,3,1.225230769,0.268913966,1
0,0,12,0,0.011597411,4,5.730519118,0.268913966,1
0,0,12,0,0.011597411,3,0.4056,0.268913966,1
0,0,12,1,0.01,4,1.3437,0.268913966,1
0,2,12,0,0.011597411,3,6.868478261,0.268913966,2
0,2,12,0,0.01,3,2.22692,0.050420168,2
40.7894736842106,2,12,1,0.01,4,4.83011236,0.096385542,2
0,0,0,2,0.01,4,5.747923077,0.163265306,2
0,0,6,0,0.011597411,4,5.730519118,0.156862745,2
-31.0415745245468,0,6,0,0.01,4,3.571720588,0.158536585,2
0,0,0,3,0.01,4,5.79196,0.157142857,2
0,0,12,0,0.011597411,6,0.004,0.148648649,3
-44.5051807130618,0,12,0,0.01,6,2.874742857,0.173076923,4
0,0,0,0,0.01,4,3.587285714,0.375,4
